,name,Year,genre,artist
142,Untititled Ajay Devgn movie,2024,Drama ,Ajay DevgnDiana PentyMohit MalikAman Devgan 
143,Untitled Abhishek Kapoor/Ajay Devgn Project,2024,ActionCrimeDrama ,Ajay DevgnDiana PentyDylan JonesAman Devgan 
144,Parakramam,2024,Drama ,Bandi Saroj KumarMohan Senapathi 
145,Untitled Soorarai Pottru remake,2024,CrimeDrama ,Akshay KumarParesh RawalRadhika MadanR. Sarathkumar 
146,"LSD 2: Love, Sex Aur Dhokha 2",2024,ComedyHorror ,Nimrit Ahluwalia 
147,Mere Mehboob Mere Sanam,2024,null,Sanya MalhotraVicky KaushalTriptii DimriFatima Sana Shaikh 
148,Black Magic,2024,null,Ajay DevgnMadhavanJanki BodiwalaJyotika 
149,Double Ismart,2024,null,Sanjay DuttRam Pothineni 
150,Dune: Part Two,2024,null,Florence PughTimothée ChalametJavier BardemRebecca Ferguson 
151,Mr. & Mrs. Mahi,2024,null,Rajkummar RaoJanhvi KapoorAbhishek BanerjeeKumud Mishra 
152,The Crew,2024,null,Kareena KapoorRajkummar RaoKriti SanonTabu 
153,Metro... In Dhino,2024,null,Anupam KherAli FazalPankaj TripathiKay Kay Menon 
154,Rabb Da Radio 3,2024,null,Simi ChahalTarsem Jassar 
155,Nadada,2024,null,Shriya SaranJagapathi BabuJayasudhaRajneesh Duggal 
156,Devara,2024,null,N.T. Rama Rao Jr.Saif Ali KhanJanhvi KapoorPrakash Raj 
157,Bastar,2024,null,Akshay KumarJanhvi KapoorTiger ShroffSonakshi Sinha 
158,Bade Miyan Chote Miyan,2024,null,Sanjay DuttGippy GrewalHarpreet KalerRavi Dehru 
159,Sheran Di Kaum Punjabi,2024,null,Joseph VijayPrabhu DevaJai 
