,name,rating,salary,reviews
292,Societe Generale,3.9,17.2k,1.8k
293,BlackBuck,3.9,6k,7.3k
294,Nokia,4.2,18.4k,73
295,Future Retail,4.3,6.6k,34
296,I Process Services,3.9,4.9k,714
297,Lifestyle,4.4,7.2k,--
298,State Street Corporation,3.8,19.4k,1.8k
299,Voltas,4.0,8.1k,6.2k
300,UNO Minda,4.0,8.3k,1.7k
301,Eureka Forbes,3.9,6.1k,8.3k
302,JMC Projects,4.2,6.2k,87
303,The Himalaya Drug Company,4.1,5.7k,--
304,Extramarks Education,3.5,8.6k,667
305,Rivigo,3.9,7.8k,--
306,Radisson Hotels,4.0,6.9k,1.7k
307,Micro Labs,3.7,8.6k,6.1k
308,G4S,4.0,4.8k,37
309,Britannia,4.1,7.2k,8
310,TVS Supply Chain Solutions,3.9,8.3k,725
311,Aditya Birla Group,4.2,10.7k,1
312,ElasticRun,3.4,5.6k,1.7k
313,Tata Teleservices,4.1,5.7k,6.2k
314,Exide Industries,3.5,7.3k,72
315,PepsiCo,4.1,8.1k,1
316,Grasim Industries,4.0,7.9k,743
317,Nokia Networks,4.3,3.8k,--
318,ACT Fibernet,4.1,6.9k,1.7k
319,Ajanta Pharma,4.0,8.1k,5.7k
320,R.R. Donnelley,4.1,10.4k,1.6k
321,Life Insurance Corporation of India,4.3,4.8k,10.4k
322,Johnson Controls,3.4,12.7k,67
323,Shree Cement,4.1,8.4k,38
324,Blue Star,4.1,8.6k,888
325,Sterlite Technologies,3.9,9.9k,--
326,Cholamandalam MS General Insurance,3.9,5.7k,1.6k
327,Pfizer,4.1,6.3k,4.8k
328,Croma,4.2,5.9k,49
329,Dalmia Bharat Cement,4.1,7.9k,4
330,TVS Credit,4.3,5.6k,719
331,Delhi Public School,3.9,5.5k,--
332,CG Power and Industrial Solutions,3.8,8.3k,1.6k
333,Sonalika Tractors,3.7,7.7k,12.7k
334,Renault-Nissan,4.1,8.3k,136
335,Emcure Pharmaceuticals,3.8,8.1k,37
336,Samsung Electronics,4.1,8.8k,550
337,IKS Health,3.6,8.4k,17
338,Yazaki,3.8,7.4k,1.6k
339,XpressBees,3.8,6.6k,8.4k
340,Mahindra Logistics,4.1,7.4k,1.5k
341,Datamatics Global Services,3.6,10.8k,7.4k
342,BHEL,4.2,5.6k,78
343,HCL Infosystems,3.9,10.1k,26
344,Kalyan Jewellers,4.8,1.3k,621
345,Parle Agro,4.2,5.9k,2
346,Zomato,3.7,11.3k,1.5k
347,Indus Towers,4.0,6.7k,10.8k
348,Raymond,4.0,7.4k,86
349,DS Group,4.0,5.6k,177
350,V-Mart,4.2,4.1k,570
351,Barclays,4.0,19.2k,4
352,Mahindra Holidays & Resorts,3.6,6.4k,1.5k
353,PVR Cinemas,4.1,5.8k,5.6k
354,Kalpataru Power Transmission,4.1,6.6k,69
355,Indian Railways,4.1,3.2k,--
356,Poonawalla Fincorp,3.9,5.2k,700
357,Ambuja Cements,4.0,6.1k,5
358,SRF,4.3,7k,1.5k
359,Reliance Trends,4.3,4.5k,10.1k
360,Info Edge,4.1,9.9k,1.5k
361,Cybage,4.0,16.2k,9.9k
362,Whirlpool,4.1,7.9k,179
